customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
414,AW00011413,Megan Stewart,66,50 and above,VIP,2013-09-05,142,4,7190,11,10,1797.5,287.6
415,AW00011414,Ian Richardson,66,50 and above,VIP,2013-09-15,142,4,7191,10,10,1797.75,287.64
423,AW00011422,Dustin Deng,73,50 and above,VIP,2013-11-03,140,4,7075,10,10,1768.75,262.04
767,AW00011766,Candace Raman,53,50 and above,VIP,2013-07-10,144,3,8280,11,11,2760.0,376.36
250,AW00011249,Cindy Patel,59,50 and above,VIP,2013-09-15,142,4,9890,11,11,2472.5,430.0
1656,AW00012655,Larry Vazquez,71,50 and above,VIP,2013-06-17,145,4,10899,11,11,2724.75,544.95
1632,AW00012631,Clarence Gao,76,50 and above,VIP,2013-06-07,145,4,10799,11,10,2699.75,539.95
2406,AW00013405,Ethan Bryant,62,50 and above,VIP,2013-07-24,144,4,10778,11,8,2694.5,538.9
997,AW00011996,Veronica Srini,59,50 and above,VIP,2013-08-02,143,3,7059,11,10,2353.0,336.14
413,AW00011412,Sydney Bryant,66,50 and above,VIP,2013-10-11,141,4,9880,11,10,2470.0,429.57
4658,AW00015657,Marcus Hayes,60,50 and above,VIP,2013-11-27,140,3,5250,10,10,1750.0,218.75
2264,AW00013263,Kate Anand,64,50 and above,VIP,2013-07-06,144,4,10871,12,11,2717.75,543.55
987,AW00011986,Max Alvarez,56,50 and above,VIP,2013-08-27,143,3,8245,11,11,2748.3333333333335,392.62
429,AW00011428,Deanna Perez,66,50 and above,VIP,2013-10-22,141,4,9954,12,12,2488.5,452.45
4662,AW00015661,Brandon Robinson,60,50 and above,VIP,2013-12-03,139,3,5207,10,10,1735.6666666666667,216.96
424,AW00011423,Jasmine Stewart,65,50 and above,VIP,2013-10-20,141,4,9905,10,10,2476.25,450.23
432,AW00011431,Bryant Garcia,51,50 and above,VIP,2013-09-30,142,4,9913,11,8,2478.25,472.05
2576,AW00013575,Alicia Shen,75,50 and above,VIP,2013-08-03,143,4,9458,13,12,2364.5,497.79
2578,AW00013577,Theodore Torres,74,50 and above,VIP,2013-08-16,143,4,9451,11,11,2362.75,497.42
1349,AW00012348,Jimmy Vazquez,46,40-49,VIP,2013-09-12,142,3,6906,10,9,2302.0,345.3
617,AW00011616,Casey Nath,45,40-49,VIP,2013-04-15,147,3,5253,10,10,1751.0,375.21
1685,AW00012684,Shaun Shen,47,40-49,VIP,2013-10-19,141,3,6893,10,9,2297.6666666666665,344.65
1124,AW00012123,Wesley Liang,,50 and above,VIP,2013-11-20,140,4,5837,12,11,1459.25,277.95
1134,AW00012133,Colleen Xie,64,50 and above,VIP,2013-12-01,139,4,5830,10,9,1457.5,265.0
1681,AW00012680,George Sanchez,48,40-49,VIP,2013-09-17,142,3,6880,10,10,2293.3333333333335,362.11
3201,AW00014200,Colleen Goel,71,50 and above,VIP,2013-09-28,142,4,9422,10,10,2355.5,523.44
4698,AW00015697,Julia Morris,66,50 and above,VIP,2013-07-02,144,3,6975,10,9,2325.0,435.94
3186,AW00014185,Frank Vazquez,67,50 and above,VIP,2013-07-31,144,4,9524,13,12,2381.0,595.25
3187,AW00014186,Katrina Tang,68,50 and above,VIP,2013-08-12,143,4,9796,10,10,2449.0,576.24
3193,AW00014192,Ronald Kapoor,69,50 and above,VIP,2013-08-03,143,4,9452,10,10,2363.0,556.0
3720,AW00014719,Ronnie He,50,50 and above,VIP,2013-12-23,139,3,5512,10,10,1837.3333333333333,275.6
1131,AW00012130,Suzanne Zhou,63,50 and above,VIP,2013-11-14,140,4,7987,10,9,1996.75,443.72
1126,AW00012125,Diana Ortega,63,50 and above,VIP,2013-11-17,140,4,8595,10,10,2148.75,477.5
3932,AW00014931,Andres Pal,51,50 and above,VIP,2013-06-28,145,3,6981,10,10,2327.0,537.0
1288,AW00012287,Andre Arun,68,50 and above,VIP,2013-05-26,146,3,5720,10,9,1906.6666666666667,476.67
5588,AW00016587,Zachary Martinez,66,50 and above,VIP,2013-08-27,143,3,7064,10,10,2354.6666666666665,543.38
1292,AW00012291,Johnathan Suri,76,50 and above,VIP,2013-11-20,140,4,8067,11,10,2016.75,504.19
1298,AW00012297,Felicia Blanco,75,50 and above,VIP,2013-11-09,140,4,8022,11,10,2005.5,534.8
1331,AW00012330,Preston Raman,71,50 and above,VIP,2013-12-24,139,4,7932,10,8,1983.0,495.75
1299,AW00012298,Crystal Zeng,75,50 and above,VIP,2013-12-11,139,4,8052,10,10,2013.0,503.25
1303,AW00012302,Kevin Coleman,74,50 and above,VIP,2013-12-26,139,4,8091,12,12,2022.75,505.69
3317,AW00014316,Leonard Anand,58,50 and above,Regular,2013-10-25,141,3,3796,10,9,1265.3333333333333,271.14
6222,AW00017221,Ricky Navarro,70,50 and above,New,2013-08-19,143,3,7292,13,11,2430.6666666666665,662.91
3277,AW00014276,Melody Suarez,64,50 and above,New,2013-08-29,143,3,5258,11,8,1752.6666666666667,478.0
4679,AW00015678,Susan Zhou,45,40-49,VIP,2013-10-07,141,3,7223,10,8,2407.6666666666665,555.62
242,AW00011241,Lisa Cai,51,50 and above,VIP,2013-10-29,141,7,11468,25,20,1638.2857142857142,882.15
1654,AW00012653,Nichole Andersen,70,50 and above,New,2013-05-28,146,3,6859,10,8,2286.3333333333335,857.38
243,AW00011242,Larry Munoz,62,50 and above,VIP,2013-12-04,139,7,11067,12,12,1581.0,737.8
421,AW00011420,Jordan Turner,73,50 and above,VIP,2013-11-29,140,7,11200,17,16,1600.0,933.33
418,AW00011417,Lacey Zheng,75,50 and above,VIP,2013-12-15,139,7,11248,17,14,1606.8571428571429,865.23
403,AW00011402,Kelli Cai,50,50 and above,New,2013-04-02,147,3,5059,10,9,1686.3333333333333,1011.8
6780,AW00017779,Madison Patterson,52,50 and above,Regular,2013-12-19,139,3,4249,10,10,1416.3333333333333,326.85
426,AW00011425,Ariana Gray,60,50 and above,VIP,2013-12-21,139,6,10528,15,15,1754.6666666666667,809.85
1743,AW00012742,Samantha Martinez,47,40-49,New,2013-06-07,145,3,5148,10,10,1716.0,735.43
440,AW00011439,Janet Munoz,72,50 and above,New,2013-10-20,141,6,12488,14,12,2081.3333333333335,1135.27
434,AW00011433,Maurice Shan,68,50 and above,New,2013-09-14,142,6,12914,13,12,2152.3333333333335,1434.89
2256,AW00013255,Lance Blanco,63,50 and above,VIP,2013-12-02,139,4,7393,12,9,1848.25,616.08
433,AW00011432,Dominique Prasad,68,50 and above,VIP,2013-12-25,139,6,9330,16,15,1555.0,777.5
2257,AW00013256,Abby Subram,62,50 and above,VIP,2013-12-25,139,4,7494,13,12,1873.5,624.5
430,AW00011429,Marco Lopez,67,50 and above,VIP,2013-12-24,139,6,10468,17,14,1744.6666666666667,872.33
3080,AW00014079,Lauren Price,44,40-49,Regular,2014-01-26,138,4,224,11,10,56.0,18.67
3568,AW00014567,Seth Thomas,43,40-49,New,2013-12-06,139,3,161,10,10,53.666666666666664,14.64
567,AW00011566,April Shan,52,50 and above,Regular,2014-01-07,138,25,1002,58,15,40.08,83.5
531,AW00011530,Andrew Martinez,62,50 and above,New,2013-12-30,139,16,572,26,18,35.75,52.0
277,AW00011276,Nancy Chapman,51,50 and above,Regular,2014-01-22,138,27,987,57,22,36.555555555555557,82.25
288,AW00011287,Henry Garcia,59,50 and above,Regular,2014-01-28,138,27,1165,62,23,43.148148148148145,97.08
92,AW00011091,Dalton Perez,63,50 and above,Regular,2014-01-08,138,28,1186,59,25,42.357142857142854,98.83
6375,AW00017374,Jason Diaz,41,40-49,New,2013-07-11,144,3,206,12,10,68.666666666666671,34.33
1055,AW00012054,Luke Diaz,52,50 and above,New,2013-12-17,139,5,403,11,8,80.6,36.64
1062,AW00012061,Bryce Brooks,77,50 and above,New,2013-09-29,142,4,140,10,8,35.0,17.5
224,AW00011223,Hailey Patterson,68,50 and above,Regular,2014-01-06,138,27,1293,65,26,47.888888888888886,107.75
1166,AW00012165,Caleb Flores,58,50 and above,New,2013-07-05,144,4,280,13,11,70.0,46.67
633,AW00011632,Alexandra Jenkins,43,40-49,Regular,2014-01-03,138,16,1001,34,23,62.5625,83.42
642,AW00011641,James Chen,49,40-49,New,2013-08-18,143,5,302,11,10,60.4,43.14
213,AW00011212,Chloe Campbell,70,50 and above,Regular,2014-01-17,138,17,824,33,20,48.470588235294116,68.67
503,AW00011502,Jared Peterson,45,40-49,Regular,2014-01-27,138,16,1020,42,25,63.75,85.0
301,AW00011300,Fernando Barnes,60,50 and above,New,2013-12-31,139,27,1499,67,28,55.518518518518519,136.27
501,AW00011500,Sarah Simmons,45,40-49,Regular,2014-01-10,138,16,653,30,23,40.8125,54.42
3092,AW00014091,Logan Thomas,42,40-49,New,2013-08-05,143,5,251,11,10,50.2,35.86
212,AW00011211,Samantha Russell,65,50 and above,New,2014-01-07,138,17,792,33,22,46.588235294117645,72.0
177,AW00011176,Mason Roberts,46,40-49,New,2014-01-27,138,28,1317,60,27,47.035714285714285,119.73
869,AW00011868,Jessica Peterson,52,50 and above,New,2013-12-17,139,5,248,11,10,49.6,24.8
739,AW00011738,Elijah Alexander,55,50 and above,New,2013-12-27,139,5,330,13,12,66.0,33.0
278,AW00011277,Charles Jackson,57,50 and above,New,2014-01-16,138,27,1434,65,26,53.111111111111114,130.36
4173,AW00015172,Alexandra Hill,39,30-39,New,2013-11-13,140,4,215,12,11,53.75,23.89
1985,AW00012984,Adam Young,62,50 and above,New,2013-10-29,141,4,200,11,10,50.0,25.0
2759,AW00013758,Alexandria Bell,61,50 and above,New,2013-12-17,139,4,284,10,9,71.0,28.4
725,AW00011724,Jason Carter,53,50 and above,New,2013-12-14,139,5,210,13,11,42.0,21.0
1203,AW00012202,Xavier Ross,82,50 and above,New,2013-10-04,141,4,171,13,8,42.75,21.38
2945,AW00013944,Andrew Moore,59,50 and above,New,2014-01-06,138,4,160,10,9,40.0,14.55
2286,AW00013285,Kara Chavez,57,50 and above,New,2013-10-26,141,3,214,11,8,71.333333333333329,26.75
712,AW00011711,Daniel Davis,52,50 and above,New,2014-01-26,138,27,1104,55,27,40.888888888888886,100.36
201,AW00011200,Jason Griffin,72,50 and above,New,2014-01-20,138,27,1461,55,26,54.111111111111114,132.82
632,AW00011631,Antonio Bennett,49,40-49,New,2013-12-25,139,16,706,33,22,44.125,70.6
332,AW00011331,Samantha Jenkins,51,50 and above,New,2014-01-24,138,27,1327,58,24,49.148148148148145,120.64
620,AW00011619,Sierra Young,47,40-49,New,2013-12-02,139,16,633,29,18,39.5625,63.3
821,AW00011820,Katelyn Lopez,48,40-49,New,2013-12-06,139,5,232,10,9,46.4,23.2
2096,AW00013095,Jordan Griffin,62,50 and above,New,2013-12-22,139,4,329,12,10,82.25,32.9
643,AW00011642,Morgan Hughes,49,40-49,New,2014-01-24,138,5,481,15,14,96.2,43.73
582,AW00011581,Cindy Jordan,,50 and above,New,2013-11-22,140,5,237,11,9,47.4,26.33
20,AW00011019,Luke Lal,42,40-49,New,2014-01-12,138,17,880,33,20,51.764705882352942,80.0
331,AW00011330,Ryan Thompson,80,50 and above,New,2014-01-22,138,27,1134,57,24,42.0,103.09
1920,AW00012919,Carlos Hill,52,50 and above,New,2013-11-07,140,4,257,13,9,64.25,28.56
2319,AW00013318,Amber Perez,66,50 and above,New,2013-10-03,141,4,214,12,12,53.5,26.75
143,AW00011142,Eduardo Patterson,42,40-49,New,2014-01-13,138,17,979,36,23,57.588235294117645,89.0
846,AW00011845,Natalie Jones,95,50 and above,New,2013-12-09,139,4,197,11,8,49.25,19.7
2269,AW00013268,Katherine Parker,87,50 and above,New,2013-09-03,142,4,290,12,12,72.5,41.43
1893,AW00012892,Brian Peterson,48,40-49,New,2013-11-29,140,4,419,14,12,104.75,46.56
216,AW00011215,Ana Perry,64,50 and above,New,2013-12-15,139,17,1154,32,21,67.882352941176464,115.4
79,AW00011078,Gina Martin,40,40-49,New,2014-01-28,138,17,912,31,23,53.647058823529413,82.91
923,AW00011922,James Davis,40,40-49,New,2013-10-23,141,5,276,12,10,55.2,34.5
1531,AW00012530,Isabel Coleman,48,40-49,New,2013-12-08,139,4,338,11,10,84.5,33.8
1896,AW00012895,Destiny Anderson,50,50 and above,New,2013-12-02,139,4,336,15,14,84.0,33.6
3634,AW00014633,Timothy Morgan,58,50 and above,New,2013-10-31,141,3,243,11,10,81.0,30.38
4827,AW00015826,Marissa Price,41,40-49,New,2014-01-21,138,4,185,10,10,46.25,16.82
508,AW00011507,Isabella Russell,53,50 and above,New,2014-01-20,138,16,651,31,20,40.6875,59.18
2207,AW00013206,Emily Flores,69,50 and above,New,2013-09-02,142,3,163,11,8,54.333333333333336,23.29
6386,AW00017385,Grace Martinez,43,40-49,New,2013-10-14,141,3,208,10,10,69.333333333333329,26.0
1184,AW00012183,Emily Robinson,59,50 and above,New,2013-07-09,144,4,229,10,8,57.25,45.8
4527,AW00015526,Isabelle Flores,56,50 and above,New,2013-11-03,140,3,188,10,10,62.666666666666664,20.89
204,AW00011203,Luis Diaz,66,50 and above,New,2013-12-11,139,17,800,32,19,47.058823529411768,80.0
4499,AW00015498,Alexandra Washington,50,50 and above,New,2013-09-24,142,3,256,10,9,85.333333333333329,36.57
828,AW00011827,Sara Baker,45,40-49,New,2013-12-09,139,5,511,15,12,102.2,51.1
186,AW00011185,Ashley Henderson,75,50 and above,New,2014-01-26,138,27,1616,68,29,59.851851851851855,146.91
6388,AW00017387,Aidan Alexander,42,40-49,New,2013-04-03,147,3,148,10,9,49.333333333333336,74.0
521,AW00011520,Jada Morgan,65,50 and above,New,2014-01-19,138,16,822,32,24,51.375,74.73
3329,AW00014328,Andrea Rogers,43,40-49,New,2013-10-03,141,5,308,15,14,61.6,38.5
4469,AW00015468,Emma Foster,49,40-49,New,2013-10-10,141,3,437,10,10,145.66666666666666,54.63
506,AW00011505,Jasmine Powell,53,50 and above,New,2013-12-24,139,16,845,36,22,52.8125,84.5
6443,AW00017442,Edward Taylor,85,50 and above,New,2013-12-21,139,3,320,11,10,106.66666666666667,32.0
1160,AW00012159,Kaitlyn Scott,51,50 and above,New,2014-01-15,138,4,259,12,8,64.75,23.55
803,AW00011802,Madison Taylor,48,40-49,New,2013-12-01,139,5,214,12,10,42.8,21.4
263,AW00011262,Jennifer Simmons,50,50 and above,New,2014-01-22,138,27,1124,63,26,41.629629629629626,102.18
6027,AW00017026,Jordan Li,52,50 and above,New,2013-03-20,148,3,261,10,9,87.0,261.0
499,AW00011498,Arturo Sun,46,40-49,New,2014-01-09,138,16,560,30,18,35.0,50.91
254,AW00011253,Jos├® Hernandez,76,50 and above,New,2013-12-03,139,16,695,30,16,43.4375,77.22
2757,AW00013756,Kaylee Young,61,50 and above,New,2013-06-22,145,4,298,13,12,74.5,99.33
1445,AW00012444,Mackenzie Phillips,63,50 and above,New,2014-01-25,138,4,293,11,9,73.25,29.3
2145,AW00013144,Destiny Stewart,43,40-49,New,2013-09-06,142,4,281,11,10,70.25,46.83
741,AW00011740,Jan Hall,61,50 and above,New,2014-01-18,138,5,384,14,12,76.8,38.4
507,AW00011506,Nicholas Brown,54,50 and above,New,2014-01-22,138,16,748,36,24,46.75,74.8
3898,AW00014897,Hunter Moore,64,50 and above,New,2013-09-29,142,3,196,11,11,65.333333333333329,32.67
710,AW00011709,Hailey Collins,57,50 and above,New,2013-10-14,141,5,325,12,9,65.0,46.43
4245,AW00015244,Alexis Rodriguez,44,40-49,New,2013-10-27,141,4,179,12,11,44.75,25.57
511,AW00011510,Seth Roberts,66,50 and above,New,2013-12-26,139,5,257,16,14,51.4,28.56
520,AW00011519,Jerome Navarro,65,50 and above,New,2014-01-11,138,16,756,36,20,47.25,75.6
641,AW00011640,Chloe Wilson,50,50 and above,New,2013-12-29,139,5,408,15,14,81.6,45.33
825,AW00011824,Jill Martin,48,40-49,New,2014-01-09,138,5,240,11,10,48.0,24.0
3726,AW00014725,Evan Morgan,53,50 and above,New,2013-12-09,139,3,319,10,10,106.33333333333333,35.44
1929,AW00012928,Carol Wright,50,50 and above,New,2013-11-03,140,4,247,10,9,61.75,30.88
870,AW00011869,Kaitlyn Adams,41,40-49,New,2014-01-16,138,5,268,14,12,53.6,26.8
1761,AW00012760,Krista Gomez,54,50 and above,New,2013-06-10,145,4,273,12,11,68.25,91.0
1940,AW00012939,Eduardo Parker,55,50 and above,New,2014-01-27,138,4,238,13,10,59.5,23.8
74,AW00011073,Amy Ye,63,50 and above,New,2013-08-21,143,3,192,10,9,64.0,38.4
809,AW00011808,James Parker,51,50 and above,New,2013-10-25,141,5,609,14,12,121.8,87.0
1945,AW00012944,Jose Jai,54,50 and above,New,2013-09-04,142,4,164,10,9,41.0,27.33
502,AW00011501,Brandy Chandra,44,40-49,New,2014-01-22,138,16,871,33,23,54.4375,87.1
2763,AW00013762,Gavin Long,61,50 and above,New,2014-01-05,138,4,230,12,11,57.5,23.0
1364,AW00012363,Kayla Thompson,78,50 and above,New,2013-10-01,141,4,274,11,9,68.5,39.14
678,AW00011677,Charles Walker,45,40-49,New,2013-11-30,140,5,297,10,10,59.4,42.43
662,AW00011661,Jeremiah James,44,40-49,New,2013-12-14,139,5,287,11,10,57.4,35.88
2921,AW00013920,Amanda Rogers,56,50 and above,New,2013-10-29,141,4,268,12,12,67.0,44.67
5718,AW00016717,Masaki Umeda,45,40-49,New,2013-09-17,142,3,234,10,10,78.0,46.8
785,AW00011784,Jose Turner,47,40-49,New,2013-12-17,139,5,272,12,9,54.4,34.0
2180,AW00013179,Adrian Sanchez,78,50 and above,New,2013-12-13,139,4,190,10,9,47.5,23.75
3567,AW00014566,Kaylee Mitchell,48,40-49,New,2013-09-29,142,3,402,13,11,134.0,80.4
1431,AW00012430,Kaitlyn Thompson,65,50 and above,New,2014-01-10,138,4,289,11,9,72.25,32.11
876,AW00011875,Jonathan Brown,59,50 and above,New,2014-01-27,138,5,292,11,10,58.4,32.44
1137,AW00012136,Blake Turner,87,50 and above,New,2014-01-23,138,4,181,10,10,45.25,20.11
2232,AW00013231,Alexia Ross,71,50 and above,New,2013-09-17,142,4,248,11,11,62.0,49.6
720,AW00011719,Blake Green,54,50 and above,New,2013-09-20,142,5,286,11,10,57.2,57.2
770,AW00011769,Haley Hernandez,46,40-49,New,2013-09-18,142,5,478,17,14,95.6,95.6
2702,AW00013701,Haley Scott,45,40-49,New,2014-01-18,138,4,170,10,10,42.5,18.89
1971,AW00012970,Angela Powell,59,50 and above,New,2013-10-22,141,4,471,15,14,117.75,78.5
5951,AW00016950,Connor Edwards,49,40-49,New,2013-07-23,144,3,212,10,8,70.666666666666671,70.67
3662,AW00014661,Jade Ward,62,50 and above,New,2013-08-04,143,3,195,10,10,65.0,65.0
2942,AW00013941,Brittany Hayes,48,40-49,New,2013-12-19,139,4,287,11,11,71.75,41.0
4252,AW00015251,Noah Hall,40,40-49,New,2014-01-28,138,4,200,11,10,50.0,25.0
2475,AW00013474,Elizabeth Hall,66,50 and above,New,2013-10-21,141,4,340,14,13,85.0,68.0
661,AW00011660,Miranda Gonzales,45,40-49,New,2013-08-16,143,5,323,15,11,64.6,107.67
660,AW00011659,Miguel Adams,51,50 and above,New,2014-01-06,138,5,234,10,9,46.8,29.25
862,AW00011861,Katherine Carter,58,50 and above,New,2013-12-22,139,5,287,13,11,57.4,41.0
1970,AW00012969,Richard Rodriguez,60,50 and above,New,2013-10-12,141,4,180,12,9,45.0,36.0
1946,AW00012945,Jessica Bailey,55,50 and above,New,2014-01-25,138,4,322,13,11,80.5,40.25
824,AW00011823,Morgan Turner,48,40-49,New,2014-01-23,138,5,263,16,11,52.6,32.88
3725,AW00014724,Dylan Robinson,53,50 and above,New,2014-01-11,138,3,120,10,8,40.0,15.0
842,AW00011841,Sean Nelson,56,50 and above,New,2013-11-06,140,5,307,13,10,61.4,51.17
1098,AW00012097,Sean Allen,70,50 and above,New,2014-01-19,138,4,238,10,9,59.5,29.75
1973,AW00012972,Carolyn Suri,47,40-49,New,2013-11-05,140,4,175,10,8,43.75,29.17
2240,AW00013239,Matthew Thomas,65,50 and above,New,2013-12-21,139,4,185,11,10,46.25,26.43
1141,AW00012140,Oscar Russell,55,50 and above,New,2013-10-29,141,4,118,10,8,29.5,29.5
3097,AW00014096,Samuel Green,40,40-49,New,2014-01-20,138,5,233,12,12,46.6,33.29
834,AW00011833,Oscar Price,43,40-49,New,2013-11-28,140,5,240,11,11,48.0,48.0
2761,AW00013760,Brian Cooper,61,50 and above,New,2014-01-03,138,4,198,11,11,49.5,28.29
1057,AW00012056,Ian Ward,78,50 and above,New,2014-01-03,138,4,254,11,8,63.5,36.29
3575,AW00014574,Katherine Powell,51,50 and above,New,2013-11-26,140,3,177,11,10,59.0,35.4
1148,AW00012147,Taylor Patterson,55,50 and above,New,2013-11-13,140,4,271,13,10,67.75,54.2
2176,AW00013175,Noah Smith,52,50 and above,New,2014-01-27,138,4,287,12,8,71.75,41.0
653,AW00011652,Samuel Russell,43,40-49,New,2013-12-18,139,5,310,14,11,62.0,51.67
1204,AW00012203,Zachary Hughes,82,50 and above,New,2014-01-05,138,4,200,12,10,50.0,33.33
4198,AW00015197,Elijah Kumar,62,50 and above,New,2014-01-17,138,3,192,10,7,64.0,32.0
4567,AW00015566,Aaron Foster,55,50 and above,New,2013-12-07,139,2,4912,10,10,2456.0,982.4
3342,AW00014341,Sean Sanders,40,40-49,New,2014-01-22,138,4,244,14,14,61.0,40.67
3905,AW00014904,Spencer Powell,64,50 and above,New,2013-12-01,139,3,468,12,11,156.0,93.6
2141,AW00013140,Jamie Zhu,67,50 and above,New,2014-01-20,138,3,325,10,9,108.33333333333333,54.17
4537,AW00015536,Victoria Thomas,51,50 and above,New,2013-12-29,139,3,250,10,9,83.333333333333329,50.0
2989,AW00013988,Miguel White,41,40-49,New,2013-10-02,141,4,196,10,10,49.0,65.33
1075,AW00012074,Megan Jenkins,64,50 and above,New,2013-10-26,141,4,261,13,10,65.25,130.5
1159,AW00012158,Kyle Phillips,46,40-49,New,2013-12-12,139,4,202,11,7,50.5,67.33
1607,AW00012606,Arthur Van,60,50 and above,New,2014-01-25,138,3,333,11,10,111.0,83.25
7321,AW00018320,Luis Jai,41,40-49,New,2013-12-30,139,3,222,10,10,74.0,74.0
4762,AW00015761,Xavier Thompson,45,40-49,New,2014-01-26,138,4,196,11,11,49.0,65.33
2097,AW00013096,Jonathan Chen,62,50 and above,New,2014-01-08,138,4,231,13,11,57.75,77.0
17390,AW00028389,Rachael Martinez,55,50 and above,New,2010-12-29,175,1,3400,1,1,3400.0,3400.0
16602,AW00027601,Sydney Rogers,55,50 and above,New,2011-01-02,174,1,3578,1,1,3578.0,3578.0
16613,AW00027612,Lucas Hill,47,40-49,New,2011-01-03,174,1,3578,1,1,3578.0,3578.0
14862,AW00025861,Garrett Cooper,75,50 and above,New,2011-01-06,174,1,3400,1,1,3400.0,3400.0
16667,AW00027666,Alyssa Garcia,65,50 and above,New,2011-01-06,174,1,3578,1,1,3578.0,3578.0
16578,AW00027577,Patrick Cook,62,50 and above,New,2011-01-06,174,1,3578,1,1,3578.0,3578.0
16605,AW00027604,Richard Brooks,63,50 and above,New,2011-01-07,174,1,3578,1,1,3578.0,3578.0
16579,AW00027578,Courtney Carter,61,50 and above,New,2011-01-14,174,1,3578,1,1,3578.0,3578.0
16650,AW00027649,Evan Bailey,65,50 and above,New,2011-01-16,174,1,3578,1,1,3578.0,3578.0
16615,AW00027614,Warren Ye,63,50 and above,New,2011-01-16,174,1,3578,1,1,3578.0,3578.0
18386,AW00029385,Don Lal,57,50 and above,New,2011-01-19,174,1,3400,1,1,3400.0,3400.0
14858,AW00025857,Abigail Perry,75,50 and above,New,2011-01-19,174,1,3400,1,1,3400.0,3400.0
17391,AW00028390,Frederick Suri,56,50 and above,New,2011-01-24,174,1,3375,1,1,3375.0,3375.0
